fips,state,county_name,spend,quality_bedweighted,z_spend,z_quality,beds_sum,discharges_sum
38047,ND,Logan,10165.56,,-0.7824175134732676,,,
46015,SD,Brule,9937.23,,-0.9027930673278936,,0.0,0.0
20017,KS,Chase,12009.82,,0.1898761796548039,,,
31075,NE,Grant,9019.25,,-1.386752034294431,,,
19139,IA,Muscatine,10031.69,,-0.8529937644894225,,0.0,159.0
26059,MI,Hillsdale,10458.23,,-0.6281219178588787,,0.0,137.0
29151,MO,Osage,10648.29,,-0.5279223042925039,,,
38075,ND,Renville,9483.04,,-1.1422419912767063,,,
51025,VA,Brunswick,10692.39,,-0.5046727885696956,,,
02130,AK,Ketchikan Gateway,9887.2,,-0.9291688784755605,,0.0,0.0
05071,AR,Johnson,10138.45,,-0.7967099028439099,,0.0,0.0
12049,FL,Hardee,15091.89,,1.8147431847295952,,0.0,0.0
13023,GA,Bleckley,11839.38,,0.10002022818551597,,0.0,0.0
17009,IL,Brown,10183.32,,-0.7730544431957824,,,
17145,IL,Perry,13548.65,,1.0011472064060591,,0.0,0.0
18021,IN,Clay,12784.5,,0.5982874005197875,,0.0,0.0
19105,IA,Jones,10765.77,,-0.46598685968670783,,0.0,0.0
27153,MN,Todd,12503.29,,0.45003351579391143,,0.0,0.0
27059,MN,Isanti,10782.61,,-0.45710881331999337,,0.0,197.0
39139,OH,Richland,11645.56,,-0.002161657016181471,,0.0,2458.0
47077,TN,Henderson,15822.13,,2.1997256419047453,,0.0,240.0
48383,TX,Reagan,15152.9,,1.8469076508123297,,0.0,0.0
48179,TX,Gray,12912.35,,0.6656899081198137,,0.0,0.0
48341,TX,Moore,10535.21,,-0.5875380693250503,,0.0,0.0
48503,TX,Young,15263.87,,1.9054110240495215,,0.0,0.0
55049,WI,Iowa,8790.57,,-1.5073121081151113,,0.0,0.0
04015,AZ,Mohave,10287.48,,-0.7181413012980999,,0.0,0.0
16049,ID,Idaho,7977.19,,-1.9361259652266414,,0.0,0.0
28091,MS,Marion,15008.39,,1.7707219928281313,,0.0,71.0
30025,MT,Fallon,10664.29,,-0.5194871058443191,,0.0,0.0
29141,MO,Morgan,10765.8,,-0.4659710436896181,,,
29001,MO,Adair,11104.53,,-0.28739262054251685,,0.0,281.0
31023,NE,Butler,11048.47,,-0.3169474471053447,,0.0,0.0
49005,UT,Cache,12301.53,,0.3436656633623021,,0.0,379.0
01085,AL,Lowndes,12449.06,,0.42144346505359465,,,
02100,AK,Haines,11058.37,,-0.31172816806552966,,,
13217,GA,Newton,12729.04,,0.5690488938987677,,0.0,754.0
18109,IN,Morgan,10964.21,,-0.3613693109330976,,0.0,456.0
19123,IA,Mahaska,9961.27,,-0.8901191816594956,,0.0,0.0
27033,MN,Cottonwood,11126.16,,-0.2759892866403776,,0.0,0.0
28155,MS,Webster,13542.31,,0.9978047590209659,,0.0,223.0
31159,NE,Seward,12922.64,,0.6711147951218019,,0.0,0.0
39157,OH,Tuscarawas,10284.74,,-0.7195858290323515,,0.0,630.0
46087,SD,McCook,11405.7,,-0.12861582575252992,,,
47061,TN,Grundy,11907.22,,0.13578546960581922,,,
48233,TX,Hutchinson,13440.49,,0.9441252648963305,,0.0,0.0
51840,VA,Winchester,10751.61,,-0.4734520103133512,,0.0,6749.0
55097,WI,Portage,9890.47,,-0.9274449347927134,,0.0,284.0
55107,WI,Rusk,10015.25,,-0.8616609308949326,,0.0,0.0
47015,TN,Cannon,13517.96,,0.9849674413826346,,0.0,12.0
49039,UT,Sanpete,11211.19,,-0.2311614788873056,,0.0,0.0
48207,TX,Haskell,14994.98,,1.7636522421287464,,0.0,0.0
19103,IA,Johnson,9725.43,,-1.0144540067857384,,0.0,6927.0
18099,IN,Marshall,10111.25,,-0.8110497402058243,,0.0,130.0
16021,ID,Boundary,6576.18,,-2.674738301344845,,0.0,0.0
18113,IN,Noble,10847.13,,-0.42309387557768924,,0.0,123.0
19169,IA,Story,10117.61,,-0.8076967488226705,,0.0,1889.0
17123,IL,Marshall,10143.77,,-0.7939051993598886,,,
19179,IA,Wapello,10904.57,,-0.3928115131487058,,0.0,126.0
